Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
190,393,2,0,65,0.10441599331737642,24807,62251
191,418,0,0,66,0.10535725688014815,24935,62644
192,409,3,0,65,0.10307316609051409,25070,63062
193,407,0,0,68,0.1071355422161302,25191,63471
194,393,1,0,67,0.10488744168571339,25289,63878
195,420,0,0,68,0.10580199467878204,25370,64271
196,357,1,0,67,0.10356927547881467,25510,64691
197,430,3,0,67,0.10300086090271798,25564,65048
198,343,1,0,68,0.10385167537188063,25698,65478
199,445,0,0,69,0.10482976557633582,25742,65821
200,353,2,0,69,0.10412579603416533,25879,66266
201,399,0,0,67,0.10057190891487414,25922,66619
202,364,2,0,66,0.09848100510310663,25992,67018
203,432,4,0,66,0.09794900715324568,26044,67382
204,453,1,0,70,0.10322352316630783,26180,67814
205,421,1,0,71,0.10400339842090615,26328,68267
206,353,2,0,71,0.10336594456091311,26422,68688
207,415,2,0,72,0.10428585912718528,26470,69041
208,428,2,0,73,0.10510251094217923,26566,69456
209,404,1,0,74,0.10588976017400263,26702,69884
210,427,2,0,74,0.10528112906897337,26774,70288
211,414,0,0,76,0.1074736618822032,26889,70715
212,450,2,0,74,0.10403632836114664,26980,71129
213,409,1,0,76,0.10617639251735846,27106,71579
214,424,2,0,75,0.10418403067177862,27180,71988
215,459,1,0,77,0.10633596641440644,27309,72412
216,386,2,0,75,0.10292160118565684,27438,72871
217,450,1,0,76,0.10374435207556956,27504,73257
218,448,0,0,77,0.10446768963599115,27613,73707
219,461,2,0,76,0.10248803182523095,27755,74155
220,464,4,0,78,0.10453522032807976,27870,74616
221,370,2,0,81,0.10788492274906766,28029,75080
222,411,2,0,83,0.11000662690523524,28065,75450
223,384,1,0,84,0.11072883299719223,28136,75861
224,482,4,0,83,0.10885959735064595,28179,76245
225,471,1,0,85,0.11078238429757452,28333,76727
226,392,1,0,83,0.10751573874970854,28494,77198
227,400,2,0,83,0.106972548008764,28577,77590
228,387,2,0,85,0.10898833183741505,28651,77990
229,471,2,0,85,0.10845018308942675,28724,78377
230,402,2,0,86,0.10907061688311688,28835,78848
231,440,1,0,88,0.11104100946372239,28884,79250
232,507,2,0,88,0.11042790814405823,28965,79690
233,479,0,0,89,0.11097671982742496,29140,80197
234,417,0,0,88,0.10907828846249196,29264,80676
235,490,1,0,87,0.10728422921830491,29360,81093
236,417,1,0,88,0.10786560925683047,29494,81583
237,388,3,0,88,0.10731707317073172,29525,82000
238,483,2,0,91,0.11045297858911492,29594,82388
239,486,2,0,90,0.10860252681879065,29736,82871
240,421,1,0,92,0.11036865530189427,29840,83357
241,427,0,0,93,0.11100766310964694,29906,83778
242,498,2,0,93,0.11044474793658335,29981,84205
243,443,0,0,94,0.11097599848883748,30105,84703
244,440,1,0,91,0.10687524957132455,30193,85146
245,445,5,0,92,0.10749421634379454,30288,85586
246,498,4,0,97,0.11275005521265591,30371,86031
247,413,1,0,101,0.11672387292121716,30527,86529
248,415,2,0,101,0.1161694002898484,30605,86942
249,516,0,0,103,0.11790697940634409,30660,87357
250,508,2,0,103,0.11721461654888306,30816,87873
251,465,0,0,105,0.11880381529966848,30953,88381
252,476,4,0,104,0.11705647975148009,31049,88846
253,442,1,0,107,0.11979131680884887,31173,89322
254,505,6,0,106,0.11808742925894568,31254,89764
255,485,1,0,112,0.12407360223332484,31418,90269
256,458,0,0,112,0.12341053837847367,31529,90754
257,482,2,0,112,0.12279086085164233,31673,91212
258,506,3,0,114,0.12432656444260257,31781,91694
259,432,0,0,116,0.12581344902386118,31925,92200
260,476,0,0,116,0.12522670351498402,31963,92632
261,510,2,0,115,0.12351248013060102,32074,93108
262,514,2,0,115,0.1228396248584674,32202,93618
263,445,2,0,116,0.12323120724089577,32340,94132
264,475,0,0,117,0.12370872410839846,32391,94577
265,454,1,0,117,0.12309051887387956,32474,95052
266,424,1,0,117,0.12250539233137185,32516,95506
267,433,0,0,117,0.12196393203377463,32589,95930
268,523,0,0,116,0.12037815344063593,32620,96363
269,538,0,0,114,0.11766405879074376,32701,96886
270,486,0,0,112,0.11496140581376253,32850,97424
271,547,1,0,111,0.1133694208967419,32949,97910
272,432,2,0,111,0.11273957158962795,33131,98457
273,515,0,0,112,0.11325829970977562,33187,98889
274,446,2,0,110,0.11065953080358941,33295,99404
275,559,3,0,110,0.11016524787180772,33352,99850
276,462,1,0,111,0.11054785925564442,33519,100409
277,478,0,0,110,0.10905017299322897,33578,100871
278,440,3,0,109,0.10754916180722059,33667,101349
