Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
148,364,3,0,56,0.1202594167418288,20771,46566
149,311,1,0,56,0.11932665672277862,20892,46930
150,313,2,0,56,0.11854109777523761,20959,47241
151,309,2,0,57,0.11986373386045338,21012,47554
152,287,1,0,58,0.1211791989637089,21088,47863
153,299,0,0,59,0.122533748701973,21139,48150
154,313,0,0,59,0.12177753926809634,21177,48449
155,319,0,0,59,0.12099585742996596,21235,48762
156,373,2,0,58,0.11817200138546484,21296,49081
157,345,0,0,57,0.11525862417600195,21451,49454
158,302,2,0,56,0.11245205727022632,21534,49799
159,375,2,0,56,0.11177421608351132,21571,50101
160,287,1,0,57,0.11292495443379032,21682,50476
161,364,0,0,58,0.11425644662450998,21710,50763
162,286,0,0,57,0.1114870811899779,21783,51127
163,287,1,0,57,0.11086690136735844,21788,51413
164,317,1,0,58,0.11218568665377175,21791,51700
165,329,1,0,59,0.11342445738893053,21824,52017
166,340,3,0,58,0.11080120735108699,21868,52346
167,363,2,0,60,0.11388224575788636,21930,52686
168,348,2,0,62,0.11687307960564762,22016,53049
169,324,0,0,63,0.11798415641328165,22083,53397
170,291,2,0,63,0.11727257497068186,22136,53721
171,383,2,0,65,0.12034362734207214,22158,54012
172,387,0,0,67,0.12317308576155897,22288,54395
173,379,1,0,66,0.12047752911540288,22353,54782
174,322,0,0,67,0.12146262758108084,22455,55161
175,295,0,0,67,0.1207577095686967,22509,55483
176,349,2,0,67,0.12011904335042489,22531,55778
177,327,1,0,69,0.1229354855951681,22606,56127
178,390,0,0,70,0.12399475679314131,22678,56454
179,397,0,0,70,0.12314404334670326,22780,56844
180,334,2,0,69,0.12054296745339879,22920,57241
181,373,4,0,69,0.11984368215371255,22976,57575
182,369,0,0,73,0.12597501207979567,23057,57948
183,378,4,0,70,0.12003360941063498,23131,58317
184,314,2,0,74,0.12607547491268423,23247,58695
185,366,4,0,76,0.1287939127929638,23270,59009
186,343,1,0,78,0.13136842105263158,23361,59375
187,410,2,0,78,0.1306138852607254,23421,59718
188,361,3,0,79,0.13138637573177223,23544,60128
189,389,0,0,82,0.13556183768949726,23629,60489
190,315,1,0,81,0.13305299122835834,23747,60878
191,328,4,0,81,0.13236808131649044,23798,61193
192,329,0,0,85,0.13816420409291136,23828,61521
193,378,1,0,84,0.13581244947453516,23861,61850
194,370,2,0,84,0.13498746544963683,23972,62228
195,336,1,0,86,0.13738458097702802,24059,62598
196,410,1,0,87,0.1382400610163028,24103,62934
197,382,0,0,86,0.13576660772922455,24214,63344
198,402,1,0,86,0.1349527665317139,24299,63726
199,322,1,0,86,0.1341067864271457,24421,64128
200,415,1,0,87,0.13498836307214895,24458,64450
201,381,1,0,87,0.1341247205734988,24601,64865
202,402,1,0,88,0.13487416853140421,24695,65246
203,343,0,0,88,0.13404825737265416,24813,65648
204,357,2,0,85,0.1288054431664924,24855,65991
205,334,1,0,86,0.12961958160004822,24949,66348
206,419,0,0,86,0.1289703368225308,24995,66682
207,336,1,0,85,0.1266747142367476,25110,67101
208,342,2,0,86,0.12752643207734626,25145,67437
209,351,3,0,88,0.1298337243098895,25175,67779
210,432,2,0,91,0.13356817848231323,25240,68130
211,374,0,0,93,0.13564365100201278,25414,68562
212,428,0,0,90,0.13055587791574794,25508,68936
213,381,2,0,89,0.128308632720143,25658,69364
214,418,3,0,91,0.130475302889096,25768,69745
215,444,0,0,94,0.13397374684662858,25868,70163
216,405,4,0,93,0.1317149857662838,25978,70607
217,440,0,0,96,0.13518841885878444,26082,71012
218,450,1,0,96,0.1343559312545485,26235,71452
219,368,3,0,95,0.13212428027036802,26399,71902
220,389,1,0,98,0.135602601356026,26475,72270
221,347,0,0,98,0.13487661542272808,26507,72659
222,392,1,0,96,0.13149604142125304,26539,73006
223,408,1,0,95,0.1294313196544865,26590,73398
224,401,3,0,93,0.1260060157710755,26663,73806
225,441,0,0,95,0.12802026762973845,26783,74207
226,433,2,0,94,0.125924338227414,26935,74648
227,377,1,0,96,0.12786190913813084,27030,75081
228,393,2,0,95,0.12589785045985846,27082,75458
229,393,3,0,96,0.12656392137216385,27159,75851
230,383,0,0,98,0.12853470437017994,27221,76244
231,397,2,0,97,0.12658723426468477,27267,76627
232,369,2,0,99,0.12853136684669714,27356,77024
233,478,1,0,100,0.12921065212616129,27386,77393
234,454,1,0,101,0.12970168612191957,27559,77871
235,404,0,0,100,0.12767315671879986,27683,78325
236,434,0,0,100,0.12701799845038042,27745,78729
237,401,0,0,98,0.12379520735697233,27860,79163
238,478,1,0,97,0.12191443366346588,27933,79564
239,442,1,0,97,0.12118637715199519,28072,80042
240,383,0,0,98,0.12176333184235376,28192,80484
241,442,2,0,95,0.1174768446956113,28217,80867
242,416,0,0,96,0.11806811054126849,28318,81309
243,405,3,0,95,0.11624349954114407,28435,81725
244,495,5,0,97,0.11810544259101424,28503,82130
245,492,2,0,101,0.12223903177004539,28659,82625
246,412,3,0,102,0.12271857742700049,28794,83117
247,485,3,0,103,0.12331046702342897,28880,83529
248,503,1,0,104,0.12378889232746923,29015,84014
249,455,0,0,105,0.12423536093330335,29156,84517
