Generation,Generation Offspring,Homosexual Offspring,Random Event Offspring (Homosexual Parent) [IVF/Surrogacy/Bi-Sexual],Alive Homosexuals,Homosexuals %,Alive Population,Total Population (Alive + Dead)
207,358,39,0,3142,4.775656614785992,24793,65792
208,411,52,0,3142,4.749811035525322,24857,66150
209,392,51,0,3157,4.743017683027598,24961,66561
210,396,46,0,3185,4.757068391259541,25064,66953
211,332,34,0,3182,4.72464327606943,25161,67349
212,328,42,0,3173,4.688169501041652,25209,67681
213,401,56,0,3182,4.678792512755665,25270,68009
214,379,54,0,3202,4.680602251132875,25378,68410
215,421,51,0,3209,4.664990042012531,25445,68789
216,338,42,0,3215,4.645282473630978,25573,69210
217,363,57,0,3232,4.647150169666993,25623,69548
218,361,46,0,3247,4.644476548754845,25732,69911
219,346,35,0,3249,4.623463114754099,25781,70272
220,375,49,0,3249,4.600809991786797,25846,70618
221,390,51,0,3250,4.577916132576451,25907,70993
222,449,60,0,3274,4.586526203717972,25982,71383
223,393,50,0,3287,4.575955006125404,26089,71832
224,347,44,0,3298,4.566285912080305,26182,72225
225,385,53,0,3299,4.5458303477925375,26195,72572
226,374,47,0,3314,4.542401688665927,26290,72957
227,377,36,0,3322,4.530144140949939,26346,73331
228,375,45,0,3307,4.486622890323981,26422,73708
229,404,51,0,3300,4.45446323717992,26465,74083
230,353,43,0,3303,4.434330822828144,26533,74487
231,359,52,0,3307,4.418760021378942,26578,74840
232,434,44,0,3314,4.406973496987992,26618,75199
233,362,44,0,3323,4.393584810862984,26756,75633
234,465,60,0,3319,4.36739259161787,26788,75995
235,359,42,0,3333,4.359142035051007,26922,76460
236,357,46,0,3331,4.336166833726032,26944,76819
237,408,58,0,3339,4.326474551674096,26992,77176
238,434,46,0,3350,4.317900598061456,27052,77584
239,375,58,0,3359,4.305416698710554,27172,78018
240,423,53,0,3376,4.30650695852946,27222,78393
241,466,55,0,3387,4.297350791717418,27302,78816
242,434,54,0,3402,4.291011831184885,27431,79282
243,480,68,0,3416,4.285212504390587,27507,79716
244,446,51,0,3443,4.293231582622575,27656,80196
245,398,59,0,3460,4.290568190273058,27726,80642
246,398,37,0,3474,4.286771964461994,27818,81040
247,462,53,0,3476,4.268277708195192,27892,81438
248,404,45,0,3488,4.258852258852259,28027,81900
249,381,46,0,3494,4.2452371695178845,28109,82304
250,449,58,0,3496,4.228094575799722,28145,82685
251,424,51,0,3506,4.21728775230351,28225,83134
252,424,56,0,3511,4.201871753751885,28332,83558
253,410,37,0,3522,4.193755804815318,28443,83982
254,445,52,0,3509,4.157977059436913,28514,84392
255,431,40,0,3513,4.140881926517911,28575,84837
256,382,39,0,3504,4.10939625650889,28636,85268
257,427,41,0,3496,4.081727962638645,28663,85650
258,447,55,0,3511,4.078906095705008,28780,86077
259,399,66,0,3524,4.072858397670011,28894,86524
260,439,48,0,3560,4.095578845644996,28960,86923
261,482,59,0,3568,4.084155582518715,29044,87362
262,415,61,0,3582,4.077683165611766,29137,87844
263,421,53,0,3589,4.066440816234039,29206,88259
264,492,52,0,3587,4.044880469102391,29266,88680
265,441,56,0,3606,4.043870273179921,29413,89172
266,470,69,0,3623,4.042940198408713,29520,89613
267,393,41,0,3650,4.051818878145711,29638,90083
268,415,55,0,3641,4.024271630045536,29685,90476
269,441,60,0,3657,4.023500676634651,29758,90891
270,480,54,0,3677,4.025971182061052,29859,91332
271,522,81,0,3682,4.0103690149435804,29956,91812
272,439,49,0,3714,4.022353629215673,30103,92334
273,514,54,0,3719,4.008709430545525,30166,92773
274,402,48,0,3743,4.012348987533096,30318,93287
275,426,54,0,3751,4.003671722400709,30360,93689
276,470,61,0,3759,3.9940498326515432,30403,94115
277,512,63,0,3770,3.9858328487603742,30456,94585
278,404,52,0,3779,3.9738372398708686,30591,95097
279,401,43,0,3782,3.960167956356478,30606,95501
280,509,63,0,3768,3.9290108652582845,30592,95902
281,435,60,0,3787,3.927975023596893,30739,96411
282,456,63,0,3788,3.911364434256449,30765,96846
283,471,58,0,3808,3.91358862099443,30844,97302
284,466,64,0,3832,3.919282419481861,30910,97773
285,459,48,0,3837,3.9057807998859926,31011,98239
286,519,71,0,3842,3.8926827291333157,31065,98698
287,530,83,0,3870,3.9005412378927,31234,99217
288,546,80,0,3920,3.9299427551705817,31444,99747
289,496,55,0,3955,3.943445704087025,31633,100293
290,427,48,0,3957,3.9260236732183076,31761,100789
291,424,54,0,3958,3.9104489408789127,31816,101216
292,540,61,0,3959,3.8951200314836676,31872,101640
293,440,50,0,3953,3.8686631434723036,32027,102180
294,529,64,0,3960,3.858896901188852,32070,102620
295,437,49,0,3977,3.8555875481100155,32231,103149
296,497,56,0,3985,3.847044967466646,32286,103586
297,520,65,0,4007,3.849812169134249,32432,104083
298,449,48,0,4011,3.8344980545491048,32546,104603
299,516,62,0,4018,3.824772493622206,32589,105052
300,445,49,0,4040,3.8269172476508033,32693,105568
301,556,61,0,4039,3.809910105364436,32763,106013
302,557,71,0,4052,3.8022314181422363,32971,106569
303,460,64,0,4064,3.793663536396393,33123,107126
304,548,89,0,4084,3.7960329410889893,33191,107586
305,466,69,0,4129,3.81841049068748,33367,108134
